StockCode,Description,category
10002,INFLATABLE POLITICAL GLOBE ,Home Decor
10080,GROOVY CACTUS INFLATABLE,Home Decor
10120,DOGGY RUBBER,Home Decor
10123C,HEARTS WRAPPING TAPE ,Seasonal & Gifts
10124A,SPOTS ON RED BOOKCOVER TAPE,Stationery & Craft
10124G,ARMY CAMO BOOKCOVER TAPE,Stationery & Craft
10125,MINI FUNKY DESIGN TAPES,Home Decor
10133,COLOURING PENCILS BROWN TUBE,Stationery & Craft
10135,COLOURING PENCILS BROWN TUBE,Stationery & Craft
11001,ASSTD DESIGN RACING CAR PEN,Home Decor
15030,FAN BLACK FRAME ,Home Decor
15034,PAPER POCKET TRAVELING FAN ,Stationery & Craft
15036,ASSORTED COLOURS SILK FAN,Home Decor
15039,SANDALWOOD FAN,Home Decor
15044A,PINK PAPER PARASOL ,Stationery & Craft
15044B,BLUE PAPER PARASOL ,Stationery & Craft
15044C,PURPLE PAPER PARASOL,Stationery & Craft
15044D,RED PAPER PARASOL,Stationery & Craft
15056BL,EDWARDIAN PARASOL BLACK,Home Decor
15056N,EDWARDIAN PARASOL NATURAL,Home Decor
15056P,EDWARDIAN PARASOL PINK,Home Decor
15058A,BLUE POLKADOT GARDEN PARASOL,Garden & Outdoor
15058B,PINK POLKADOT GARDEN PARASOL,Garden & Outdoor
15058C,ICE CREAM DESIGN GARDEN PARASOL,Home Decor
15060B,FAIRY CAKE DESIGN UMBRELLA,Home Decor
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Home Decor
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Home Decor
16011,ANIMAL STICKERS,Stationery & Craft
16012,FOOD/DRINK SPONGE STICKERS,Stationery & Craft
16014,SMALL CHINESE STYLE SCISSOR,Home Decor
16015,MEDIUM CHINESE STYLE SCISSOR,Home Decor
16016,LARGE CHINESE STYLE SCISSOR,Home Decor
16020C,CLEAR STATIONERY BOX SET ,Home Decor
16033,MINI HIGHLIGHTER PENS,Home Decor
16043,POP ART PUSH DOWN RUBBER ,Home Decor
16045,POPART WOODEN PENCILS ASST,Stationery & Craft
16046,TEATIME PEN CASE & PENS,Stationery & Craft
16048,TEATIME ROUND PENCIL SHARPENER ,Stationery & Craft
16049,TEATIME GEL PENS ASST,Stationery & Craft
16052,TEATIME PUSH DOWN RUBBER,Food & Confectionery
16054,POPART RECT PENCIL SHARPENER ASST,Stationery & Craft
16151A,FLOWERS HANDBAG blue and orange,Fashion & Accessories
16156L,"WRAP, CAROUSEL",Seasonal & Gifts
16156S,WRAP PINK FAIRY CAKES ,Kitchen & Dining
16161G,WRAP BAD HAIR DAY,Seasonal & Gifts
16161M,WRAP  PINK FLOCK,Seasonal & Gifts
16161P,WRAP ENGLISH ROSE ,Seasonal & Gifts
16161U,WRAP SUKI AND FRIENDS,Seasonal & Gifts
16162L,THE KING GIFT BAG,Seasonal & Gifts
16162M,THE KING GIFT BAG 25x24x12cm,Seasonal & Gifts
